id,values,type,exposure,strain,order,primed,group,end,next_t
NA,28,vacc1,B,A,1,0,1,100,42
NA,28,vacc1,B,B,1,0,1,100,42
NA,28,vacc1,B,C,1,0,1,100,42
NA,28,vacc1,D,D,1,0,1,100,42
NA,28,vacc1,D,E,1,0,1,100,42
NA,42,vacc2,C,A,2,0,1,100,56
NA,42,vacc2,C,B,2,0,1,100,56
NA,42,vacc2,C,C,2,0,1,100,56
NA,42,vacc2,D,D,2,0,1,100,56
NA,42,vacc2,D,E,2,0,1,100,56
NA,56,infection2,E,A,3,0,1,100,100
NA,56,infection2,E,B,3,0,1,100,100
NA,56,infection2,E,C,3,0,1,100,100
NA,56,infection2,E,D,3,0,1,100,100
NA,56,infection2,E,E,3,0,1,100,100
NA,0,infection1,A,A,1,0,2,100,28
NA,0,infection1,A,B,1,0,2,100,28
NA,0,infection1,A,C,1,0,2,100,28
NA,0,infection1,A,D,1,0,2,100,28
NA,0,infection1,A,E,1,0,2,100,28
NA,28,vacc1,B,A,2,1,2,100,42
NA,28,vacc1,B,B,2,1,2,100,42
NA,28,vacc1,B,C,2,1,2,100,42
NA,28,vacc1,D,D,2,1,2,100,42
NA,28,vacc1,D,E,2,1,2,100,42
NA,42,vacc2,C,A,3,1,2,100,56
NA,42,vacc2,C,B,3,1,2,100,56
NA,42,vacc2,C,C,3,1,2,100,56
NA,42,vacc2,D,D,3,1,2,100,56
NA,42,vacc2,D,E,3,1,2,100,56
NA,56,infection2,E,A,4,0,2,100,100
NA,56,infection2,E,B,4,0,2,100,100
NA,56,infection2,E,C,4,0,2,100,100
NA,56,infection2,E,D,4,0,2,100,100
NA,56,infection2,E,E,4,0,2,100,100
NA,28,adj1,B,A,1,0,3,100,42
NA,28,adj1,B,B,1,0,3,100,42
NA,28,adj1,B,C,1,0,3,100,42
NA,28,adj1,D,D,1,0,3,100,42
NA,28,adj1,D,E,1,0,3,100,42
NA,42,adj2,C,A,2,0,3,100,56
NA,42,adj2,C,B,2,0,3,100,56
NA,42,adj2,C,C,2,0,3,100,56
NA,42,adj2,D,D,2,0,3,100,56
NA,42,adj2,D,E,2,0,3,100,56
NA,56,infection2,E,A,3,0,3,100,100
NA,56,infection2,E,B,3,0,3,100,100
NA,56,infection2,E,C,3,0,3,100,100
NA,56,infection2,E,D,3,0,3,100,100
NA,56,infection2,E,E,3,0,3,100,100
