runID,parTab_file,exposureTab_file,form,antigenic_seniority,cr,priming,types,wane,y0_mod,runName
1,E_parTab,B_exposureTab,C,N,A,N,6,M,Y,CNAN6MY
2,G_parTab,B_exposureTab,C,N,T,N,6,M,Y,CNTN6MY
3,F_parTab,C_exposureTab,C,N,A,N,3,M,Y,CNAN3MY
4,H_parTab,C_exposureTab,C,N,T,N,3,M,Y,CNTN3MY
5,E_parTab,B_exposureTab,C,N,A,N,6,B,Y,CNAN6BY
6,G_parTab,B_exposureTab,C,N,T,N,6,B,Y,CNTN6BY
7,F_parTab,C_exposureTab,C,N,A,N,3,B,Y,CNAN3BY
8,H_parTab,C_exposureTab,C,N,T,N,3,B,Y,CNTN3BY
9,E_parTab,B_exposureTab,C,N,A,N,6,M,N,CNAN6MN
10,G_parTab,B_exposureTab,C,N,T,N,6,M,N,CNTN6MN
11,F_parTab,C_exposureTab,C,N,A,N,3,M,N,CNAN3MN
12,H_parTab,C_exposureTab,C,N,T,N,3,M,N,CNTN3MN
13,E_parTab,B_exposureTab,C,N,A,N,6,B,N,CNAN6BN
14,G_parTab,B_exposureTab,C,N,T,N,6,B,N,CNTN6BN
15,F_parTab,C_exposureTab,C,N,A,N,3,B,N,CNAN3BN
16,H_parTab,C_exposureTab,C,N,T,N,3,B,N,CNTN3BN
17,E_parTab,D_exposureTab,C,N,A,Y,6,M,Y,CNAY6MY
18,G_parTab,D_exposureTab,C,N,T,Y,6,M,Y,CNTY6MY
19,F_parTab,E_exposureTab,C,N,A,Y,3,M,Y,CNAY3MY
20,H_parTab,E_exposureTab,C,N,T,Y,3,M,Y,CNTY3MY
21,E_parTab,D_exposureTab,C,N,A,Y,6,B,Y,CNAY6BY
22,G_parTab,D_exposureTab,C,N,T,Y,6,B,Y,CNTY6BY
23,F_parTab,E_exposureTab,C,N,A,Y,3,B,Y,CNAY3BY
24,H_parTab,E_exposureTab,C,N,T,Y,3,B,Y,CNTY3BY
25,E_parTab,D_exposureTab,C,N,A,Y,6,M,N,CNAY6MN
